timestamp,y_hat
2025-06-30 01:00:00+00:00,522.59344
2025-06-30 02:00:00+00:00,517.8639
2025-06-30 03:00:00+00:00,520.8934
2025-06-30 04:00:00+00:00,528.50323
2025-06-30 05:00:00+00:00,539.159
2025-06-30 06:00:00+00:00,551.1521
2025-06-30 07:00:00+00:00,571.1356
2025-06-30 08:00:00+00:00,587.96985
2025-06-30 09:00:00+00:00,606.06305
2025-06-30 10:00:00+00:00,625.4579
2025-06-30 11:00:00+00:00,640.5841
2025-06-30 12:00:00+00:00,654.03284
2025-06-30 13:00:00+00:00,660.49347
2025-06-30 14:00:00+00:00,666.3923
2025-06-30 15:00:00+00:00,669.4726
2025-06-30 16:00:00+00:00,666.599
2025-06-30 17:00:00+00:00,657.4025
2025-06-30 18:00:00+00:00,644.551
2025-06-30 19:00:00+00:00,633.5864
2025-06-30 20:00:00+00:00,615.9569
2025-06-30 21:00:00+00:00,601.2126
2025-06-30 22:00:00+00:00,585.17737
2025-06-30 23:00:00+00:00,566.98126
2025-07-01 00:00:00+00:00,556.77814
2025-07-01 01:00:00+00:00,552.54895
2025-07-01 02:00:00+00:00,543.7642
2025-07-01 03:00:00+00:00,545.01495
2025-07-01 04:00:00+00:00,548.11786
2025-07-01 05:00:00+00:00,557.7694
2025-07-01 06:00:00+00:00,574.75775
2025-07-01 07:00:00+00:00,590.77014
2025-07-01 08:00:00+00:00,614.23956
2025-07-01 09:00:00+00:00,624.92004
2025-07-01 10:00:00+00:00,648.4215
2025-07-01 11:00:00+00:00,665.5946
2025-07-01 12:00:00+00:00,677.6186
2025-07-01 13:00:00+00:00,681.8324
2025-07-01 14:00:00+00:00,690.31354
2025-07-01 15:00:00+00:00,685.877
2025-07-01 16:00:00+00:00,684.1987
2025-07-01 17:00:00+00:00,675.68304
2025-07-01 18:00:00+00:00,665.0943
2025-07-01 19:00:00+00:00,650.7768
2025-07-01 20:00:00+00:00,635.22076
2025-07-01 21:00:00+00:00,617.38513
2025-07-01 22:00:00+00:00,597.4288
2025-07-01 23:00:00+00:00,580.63684
2025-07-02 00:00:00+00:00,570.68896
